Name,Org. Name,Director,Duration,Genre,Metascore,IMDB Rating,Number of awards,Awards,Description,Festival Section,URL
Animalia,PARMI NOUS,Sofia Alaoui,24 min,"Animation, Family, Fantasy",,6.1,1,2023 Sundance Special Jury Award–World Cinema Dramatic,"The feature film debut from Morocco-born filmmaker Sofia Alaoui, Animalia is an inriguing sci-fi-fantasy that explores dogma, social structure, and the place of women in contemporary Morocco. Itto, a young woman from a modest background, is slowly adapting to the privileged codes of her husband’s bourgeois family. But when supernatural incidents put the country in a state of emergency, Itto finds herself separated from her husband and new family. Alone, pregnant, and looking for her way back, she finds herself liberated from constraints on this physical and spiritual journey. ‘We have stuck Arab cinema in a pigeon-hole,’ says director Alaoui, ‘I want to fight against these stereotypes.’",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/animalia
Two Tickets to Greece,LES CYCLADES,Marc Fitoussi,110 min,Comedy,,6.5,0,,"As teenagers, Blandine and Magalie were inseparable. Years passed and they lost sight of each other. Recently divorced, Blandine is struggling to get back to her life. Her former bestie Magalie, loud and fearless, resurfaces and imposes herself on a trip they’ve always dreamed of as teenagers: Amorgos, the amazing island in the Cyclades, where the legendary The Big Blue was shot. When they reach their destination, they realise the dreamy holidays don’t go as they had planned since they now have a very different approach to holidays... and to life! Director Marc Fitoussi’s feel-good comedy will bring you warm winds from the summer holidays we long for, and memories of old friends who never fade away.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/two-tickets-to-greece
Human Flowers of Flesh,Human Flowers of Flesh,Helena Wittmann,106 min,Drama,,,0,,"Living on a sailboat with her crew of five, Ida sails from Corsica to the historic headquarters of the French Foreign Legion in Algiers. Along the way, as Ida and her friends search for ways to survive at sea, the boundaries between them begin to erase and blur. This surprising film stars Angeliki Papoulia in the leading role, and Denis Lavant, best known from Claire Denis’ unforgettable Beau Travail (1999), as a soldier of the French Foreign Legion. and Denis Lavant, as a soldier of the French Foreign Legion, Human Flowers of Flesh is a cold and courageous work about empty moments that don’t need to be filled, glances that linger, undefined relationships, and unfulfilled desires.",Specter,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/human-flowers-of-flesh
A Guide to Living for the Dead,ÖLÜLER İÇİN YAŞAM KILAVUZU,Barış Fert,,"Action, Thriller",,,0,,"Deniz, a crime machine, who has lost her feelings and empathetic abilities years ago, chases after a mysterious software that is supposed to be in Istanbul to find herself in a chaotic, one-night-only adventure.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/a-guide-to-living-for-the-dead
Anqa,Anqa,Helin Çelik,,,,,0,,This film is screened with the generous support of Österreichisches Kulturforum Istanbul.,National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/anqa
Bentu,Bentu,Salvatore Mereu,70 min,Drama,,,0,,This film is screened with the generous support of the Istituto Italiano di Cultura.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/bentu
Silence 6-9,ISYCHÍA 6-9,Christos Passalis,,,,,1,2022 Linea d’Ombra (Italy) Best Film–Passaggi d’Europa,This film is screened with the generous support of the Consulate General of Greece.,Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/silence-6-9
Mirror Mirror,AYNA AYNA,Belmin Söylemez,106 min,"Adventure, Comedy, Drama",46.0,5.6,1,2022 Antalya Special Jury prize Best Supporting Actress (Laçin Ceylan),"Today’s Istanbul. Society has become more and more conservative and women struggle to keep ground in society. Aylin, an aspiring actress and a reluctant business student, wants to land on the role of a concubine in an Ottoman-themed TV series to gain independence from her possessive father. She attends an acting course to pursue her goals. Self-educated Frida rehearses her unfinished play Letters to Frida in public spaces. However, first she has to overcome her fears and panic attacks. Lale, an established actress runs a small theatre and gives acting courses. Facing economic difficulties, she struggles to keep her theatre alive. Their paths intersect at Lale’s drama course.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/mirror-mirror
The Survival of Kindness,THE SURVIVAL OF KINDNESS,Rolf de Heer,110 min,"Drama, Mystery",66.0,,1,2023 Berlin FIPRESCI Prize,"Australian auteur Rolf de Heer’s latest film had its international premiere within the main competition at the 2023 Berlin Film Festival in February. In a cage on a trailer in the middle of the desert, BlackWoman is abandoned. But BlackWoman seems not ready to pass...she escapes, and walks through pestilence and persecution, from desert to mountain to city, to find those who left her to die. The responsible powerful are reluctant to release their privilege, and BlackWoman, escaping once more, must find solace in her beginnings. A deeply unsettling, minimalist and epic moral story in the guise of a dystopic road movie, The Survival of Kindness tackles violence, endless racism, injustice, colonisation, and was made during the pandemic lockdowns.",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-survival-of-kindness
A Love Story,UNE HISTOIRE D'AMOUR,Alexis Michalik,115 min,"Drama, Romance",,7.3,0,,"The new film directed by the celebrated French playwright Alexis Michalik is adapted to cinema from his own hugely successful, award-winning stage play. Michalik also plays one of the main roles in the film, as he did in the play, and employs the same actors as well. The film follows Katia, who falls in love with Justine, when her life is a mess. They begin a beautiful, strong relationship and decide to have a child together through artificial insemination. Sadly, Justine leaves her when Katia is just a few days away from the birth of their daughter. Twelve years later, after Katia has raised Jeanne alone, she is told she has only a few months left to live. To find a guardian for Jeanne, her only option is her brother, William, a cynical, disillusioned writer, whom she has not seen since years. A Love Story is a contemporary melodrama that is moving, humorous, full of life, full of laughter and tears. Alexis Michalik’s Edmond was the opening film of the 2019 Istanbul Film Festival.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/a-love-story
America,America,Ofir Raul Graizer,136 min,"Action, Adventure, Sci-Fi",70.0,7.8,1,2022 Jerusalem Best Actress (Oshrat Ingadashet),"A story set between a flower shop and an ancient monastery, between a swimming pool and the Mediterranean, between life and death—and somewhere in the middle. Ofir Raul Graizer, who had visited the festival in 2018 with the sweet The Cakemaker returns with a similarly appealing, sincere, colourful melodrama evoking Almodóvar and Douglas Sirk. Poetic, full of emotion, flowers, and fragrances, America follows Eli, a swimming coach, who returns to Israel from Chicago after 10 years of absence, upon his father’s death. On his short trip, he decides to visit his childhood friend and his fiancée, setting a series of events in motion that will radically affect everyone’s lives. America premiered at Karlovy Vary Film Festival within the main competition.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/america
Scarlet,L'ENVOL,Pietro Marcello,100 min,"Drama, History, Romance",69.0,,1,2022 Seville En İyi Best Director,This film is screened with the generous support of the Istituto Italiano di Cultura.,International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/scarlet
The Happiest Man in the World,NAJSREKNIOT COVEK NA SVETOT,Teona Strugar Mitevska,100 min,Drama,,,2,"2023 Les Arcs Grand Prize of the Jury, Youth Jury Award","The most recent film by Teona Strugar Mitevska, the North Macedonian-born director of God Exists, Her Name Is Petrunya had its world premiere at the Venice Film Festival’s Orizzonti section. Asja, a 40-year-old single woman, lives in Sarajevo. In order to meet new people, she ends up spending her Saturday in a speed dating event. She’s matched with Zoran, a 43-year-old banker. However, Zoran is not looking for love but forgiveness for his sins of the past. The film tells a true story, that of the co-writer Elma Tataragic, who was as affected by the disintegration of Yugoslavia as director Mitevska, who says ’it is a love poem for Sarajevo.’ Mitevska is on the International Competition jury of the Festival this year.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-happiest-man-in-the-world
Pamfir,Pamfir,Dmytro Sukholytkyy-Sobchuk,100 min,Drama,,7.5,2,"2022 Molodist Kiev Grand Prix, Special Diploma (National Competition)","Western Ukraine, on the eve of a traditional carnival... Pamfir returns to his family after months of absence. Their love is so unconditional that when his only child starts a fire in the prayer house, Pamfir has no other choice but to reconnect with his troubled past and painful memories to repair his son’s fault in spite of the hostility of the townsfolk. He will be taken on a risky path with irreversible consequences. A moving drama that explores the complexities of human relationships and the power of forgiveness, Pamfir had its world premiere at Cannes within the Directors’ Fortnight section.",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/pamfir
Magnetic Fields,MAGNITIKA PEDIA,Yorgos Goussis,,Drama,,,5,"2022 Hellenic Film Awards Best Film, Best Actress (Elena Topalidou), Best Screenplay, Best Score, Best First Director","Selected as the Greek entry for the Best Foreign Language Oscars, Magnetic Fields is a bittersweet, minimalist, romantic, improvised road movie. Comic-book artist Yorgos Goussis in his debut feature follows a man and a woman as they are attracted to and repelled by each other, just as magnets do. Shot on MiniDV tapes (like the Dogme 95 films) which can be affected by magnetic fields, the film starts with Elena, who, while travelling alone, decides to change course on a whim and finds herself on a ferry to an island. Antonis is on that same ferry, on his way to the island cemetery where he hopes to bury an ossuary box. They meet, enjoy each other’s company, and search for a good place to bury the box. Yorgos Goussis is on the jury of the festival’s national short film competition.",Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/magnetic-fields
Tulliana,BARS,Orçun Köksal,135 min,"Documentary, Biography, Music",62.0,7.4,0,,"Two zoologists seeking the extinct Anatolian panther search for its traces in the deep forests of Anatolia. Veysel believes the almost mythical panther embodies something beyond an animal, an element that Anatolian people have lost and are still looking for. For Emre, only the idea of photographing the absent Anatolian panther excites him. They manage to capture an obscure image of the large cat, but they can’t prove it is the panther’s. The two friend are surprised and disturbed when they see stuffed panthers at the offices of some bureaucrats. A secret Veysel reveals to Emre in Hacıbektaş changes both of them. Will searching for something non-existent destroy them, too?",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/tulliana
Charcoal,CARVÃO,Carolina Markowicz,107 min,Drama,,,3,"2022 Rio de Janeiro Best Supporting Actress (Aline Marta), Best Screenwriting, Best Art Direction",This film is screened with the generous support of the Consulate General of Brazil.,Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/charcoal
National Short Film Competition I,National Short Film Competition I,,,,,,0,,(°) This screening will begin later than announced due to the duration of the previous film.,{{item.headline}},http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/national-short-film-competition-i
Copenhagen Does Not Exist,KØBENHAVN FINDES IKKE,Martin Skovbjerg,99 min,Drama,,,0,,This film is screened with the generous support of Danish Culture Türkiye.,International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/copenhagen-does-not-exist
Inside,INSIDE,Vasilis Katsoupis,87 min,"Comedy, Drama, Music",,8.6,0,,"Elevated by Willem Dafoe’s ‘sublime performance,’ Inside is an edge-of-your-seat thriller that had its world premiere at the 2023 Berlin Film Festival in February. Dafoe stars as Nemo, an art thief trapped in the New York penthouse of a famed collector after his heist doesn’t go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and invention to survive in this elegant apartment that becomes a chillingly beautiful prison. Written by Ben Hopkins (the director of The Market, and Yearning), Inside is a powerful, audacious, claustrophobic psychological thriller and is Greek director Vasilis Katsoupis’s debut feature.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/inside
Disco Boy,Disco Boy,Giacomo Abbruzzese,92 min,Drama,68.0,,1,2023 Berlin Best Cinematography,This film is screened with the generous support of the Istituto Italiano di Cultura.,Mined Zone,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/disco-boy
The Doll,GHOOLCHAGH,Asghar Yousefinejad,66 min,"Comedy, Fantasy, Sci-Fi",,7.4,0,,"Aging family man Ayoub decides to marry a young woman when his wife of forty years, Shamsi, disappears under dubious circumstances. No one in the family seems to approve this formidable and cheeky woman, because the new bride, Roya, is the caretaker of Eyüp’s mentally challenged adult son. As the wedding festivities drag on, the flavour is lost, while uninvited guests, revelation of unpleasant secrets and true intentions upset the balance of the extended family. Filmed in Azeri Turkish and shot in one take with a camera that uncannily wanders like an invisible wedding guest, The Doll maintains its underlying tension with dark humour. We had seen The Home, the debut feature of director Asghar Yousefinejad, who died suddenly in September 2022 after the completion of The Doll, at the festival in 2018.",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-doll
Chokehold,BOĞA BOĞA,Onur Saylak,98 min,"Action, Crime, Drama",,3.1,0,,"Yalın and Beyza, a couple from İstanbul, move to a village in Assos to start a new life. However, from the first day they settle, the villagers treat Yalın with hostility. Soon, their threatening attitude intensifies and a young man attacks Yalın, an incident that will unmask his real identity and ignite a secret war between him and the villagers.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/chokehold
RRR (Rise Roar Revolt),RRR,S.S. Rajamouli,187 min,"Action, Adventure, Drama",83.0,7.9,1,2022 Golden Globes Best Original Song,"One of the most popular films to emerge from India in 2022, an action, music, and romance packed sensation that rocked movie theatres across the globe, sending audiences dancing and cheering at every scene... Grand, cinematic, and engrossing, RRR follows two friends, who grow to be like two brothers, as they rise among the masses as two revolutionaries fighting against the British Raj. According to director Rajamouli, RRR is about an ‘imaginary friendship between two superheroes’: the characters of Rama Raju and Komaram Bheem, although real, had never actually met, and RRR imagines an alternative version of their common struggle, if they had become friends. Nominated for an Oscar for Original Song (‘Naatu Naatu’) RRR is unapologetically melodramatic, patriotic, enjoyable, epic, and this screening is a rare opportunity to see it on the big screen and cheer along.",Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/rrr-rise-roar-revolt
Eismayer,Eismayer,David Wagner,87 min,"Drama, History, Romance",,,1,2022 Venice Grand Prize–Critics’ Week,This film is screened with the generous support of the Österreichisches Kulturforum Istanbul.,Where are You My Love?,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/eismayer
Nazarbazi,NAZARBAZI,Maryam Tafakory,,Short,,,1,2022 Chicago Best Short Documentary,"Nazarbazi (the play of glances) is a film about love and desire in Iranian cinema where depictions of intimacy and touch between women and men are prohibited. The film focuses primarily on images of women, whose bodies have been erased and victimised in post-revolution cinema, and alludes to discreet forms of communication that operate within, yet also circumnavigate the censors.",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/nazarbazi
Lynch/Oz,Lynch/Oz,Alexandre O. Philippe,108 min,Documentary,65.0,7.1,0,,"David Lynch once famously said ‘there is not a day that goes by that I don’t think about The Wizard of Oz.’ Lynch/Oz follows that lead on the yellow brick road to explore the fascinating symbiosis between the Technicolor fairytale, The Wizard of Oz, and David Lynch’s singular brand of popular surrealism. Alexandre O. Philippe, similar to his earlier examinations Leap of Faith: William Friedkin on the Exorcist, MEMORY: The Origins of Alien, and The People vs. George Lucas, dives deep into David Lynch’s fascination (or obsession) with The Wizard of Oz, looking at his films from Blue Velvet, Wild At Heart, Mulholland Drive, and Twin Peaks, to even his short The Grandmother. Lynch’s direct or suspected references and hidden images and symbols are seen and narrated by some of contemporary cinema’s most exciting voices: Karyn Kusama, John Waters, David Lowery, Rodney Ascher, Amy Nicholson, and Justin Benson and Aaron Moorhead. Lynch/Oz is another wonderful opportunity to appreciate Lynch, as one of the great filmmakers of our era. ",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/lynch/oz
Irani Bag,IRANI BAG,Maryam Tafakory,,Short,,,1,2022 Ann Arbor Barbara Hammer Feminist Film Award,"Using excerpts of films produced between 1990 and 2018, Irani Bag is a split-screen video essay questioning the innocence of bags in post-revolution Iranian cinema. Irani Bag is part of Monographs, a series of essays on Asian cinema commissioned by the Asian Film Archive (AFA).",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/irani-bag
I Have Sinned a Rapturous Sin,I HAVE SINNED A RAPTUROUS SIN,Maryam Tafakory,,,,,1,2018 Open City Documentary FF London Special Jury Mention,"What cures women of sexual promiscuity? Clergymen reply, while in contrast, fragments from Forough Farrokhzad’s poem Sin are read and written down.",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/i-have-sinned-a-rapturous-sin
Poem & Stone,POEM & STONE,Maryam Tafakory,119 min,Drama,,7.0,0,,"‘Distance and nearness are attributes of the body. The journey of the soul involves not time and place.’ A film skirting the edge of performance, documentary, and poetry, Poem & Stone explores the question of human memory through the combination of a variety of abstract and symbolic motifs.",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/poem-stone
Fragments of a Letter to a Child Unborn,FRAGMENTS OF A LETTER TO A CHILD UNBORN,Maryam Tafakory,,,,,0,,"Using gesture and textual fragments, unknown guilt, fear, and the strangeness of singular becoming plural are retold as a voiceless, anonymous narrative. Text becomes the body for a hand.",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/fragments-of-a-letter-to-a-child-unborn
World War III,JANG-E JAHANI SEVOM,Houman Seyedi,105 min,"Comedy, Fantasy",,6.9,2,"2022 Venice Best Film–Orizzonti, Best Actor–Orizzonti","Iran’s Oscars submission World War III follows a downtrodden day labourer as he appears to be given the opportunity of lifetime when he’s cast in a bad film about the Holocaust, only to have his life turned upside down. Starting off as a black comedy and descending into the dark callousness of human oppression, World War III won two major awards at the Venice Film Festival’s Orizzonti section where it premiered. ‘People will fight tooth and nail to obtain their most basic needs –a house, a job and a family– and everything they end up obtaining is nothing but a facade –decorative and artificial,’ says prolific Iranian director, scriptwriter, editor, and actor Houman Seyedi about the inspiration of his sixth film.",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/world-war-iii
Almost Entirely A Slight Disaster,SANKİ HER ŞEY BİRAZ FELAKET,Umut Subaşı,88 min,"Comedy, Drama",,,0,,"Four twenty somethings in contemporary Istanbul: Zeynep is a student, who feels distressed from following daily news. Her housemate Ayşe tries to flee abroad because she cannot see a future for herself in Turkey. Mehmet is a married engineer who is never satisfied with his above-average life, while unemployed Ali feels stuck living with his parents. Coincidences playfully bring them together. Through humorous and intertwined ways, Almost Entirely A Slight Disaster explores the anxieties faced by the new generation.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/almost-entirely-a-slight-disaster
Kavur,Kavur,Fırat Özeler,50 min,Documentary,,,0,,"A young woman goes on a voyage inspired by the ones similar to those in the films of Turkish master filmmaker Ömer Kavur. Performing an imaginary dialogue, the woman and Kavur wander around abandoned towns, ruins, and deserted hotels. During this timeless encounter, unclaimed letters, shared obsessions, unrecalled dreams, and a lost film guide their mutual reckoning on solitude, truth, and cinema itself.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/kavur
Living Bad,VIVER MAL,João Canijo,,,,,0,,This film is screened with the generous support of Instituto Camões and the Embassy of Portugal.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/living-bad
Duet,DÜET,"İdil Akkuş, Ekin İlkbağ",4 min,"Animation, Short, Romance",,7.2,1,2022 Antalya Jury Special Prize,"Mısra and Defne are two close friends and duet partners who met performing synchronized swimming. After failing to qualify for the 2016 Rio de Janeiro Olympics, they set a shared goal: the 2020 Olympics. Not too long after, their regarded coach Natalie is removed from office by the federation without any reason stated. What follows is emotional devastation and disruption of scheduled practices, which in turn lead to a decline in their performances. Inadequate resources and the global COVID-19 pandemic lead the duet to come to a decision on whether to keep the fight or to find new paths in life.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/duet
National Short Film Competition II,National Short Film Competition II,,,,,,0,,(°) This screening will begin later than announced due to the duration of the previous film.,{{item.headline}},http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/national-short-film-competition-ii
In the Blind Spot,IM TOTEN WINKEL,Ayşe Polat,29 min,"Short, Horror",,,0,,"Premiering in February at the 2023 Berlinale within the Encounters section, In the Blind Spot is the latest film by Turkey-born German director Ayşe Polat (En Garde, Auslandstournee, Die Anderen / The Others). A German film team is shooting a documentary in northeastern Turkey, in a remote village, where they interview an old woman performing a ritual to keep the memory of her son alive. The Kurdish translator of the German crew is also the nanny of Melek, a 7-year-old girl. Her father, Zafer, works for a sinister, obscure organisation and is caught between loyalty to his employers and fear for his family’s well-being when his daughter appears to be haunted by a mysterious force. The fateful encounter of these people develops a destructive power.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/in-the-blind-spot
In the Blind Spot,IM TOTEN WINKEL,Ayşe Polat,29 min,"Short, Horror",,,0,,"Premiering in February at the 2023 Berlinale within the Encounters section, In the Blind Spot is the latest film by Turkey-born German director Ayşe Polat (En Garde, Auslandstournee, Die Anderen / The Others). A German film team is shooting a documentary in northeastern Turkey, in a remote village, where they interview an old woman performing a ritual to keep the memory of her son alive. The Kurdish translator of the German crew is also the nanny of Melek, a 7-year-old girl. Her father, Zafer, works for a sinister, obscure organisation and is caught between loyalty to his employers and fear for his family’s well-being when his daughter appears to be haunted by a mysterious force. The fateful encounter of these people develops a destructive power.",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/in-the-blind-spot-2
Next Sohee,DA-EUM SO-HEE ,July Jung,134 min,"Drama, Thriller",,7.4,2,"2022 Fantasia FF Best Director, Silver Audience Award",This film is screened with the generous support of the Korean Cultural Centre and the Embassy of the Republic of Korea.,International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/next-sohee
Rheingold,RHEINGOLD,Fatih Akın,138 min,"Biography, Crime, Drama",,7.1,0,,This film is screened with the generous support of German Films.,Galas,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/rheingold
Who is Mihri,KIM MIHRI,Berna Gençalp,89 min,Documentary,,,1,2022 Antalya Best Documentary,"Who is Mihri tells painter Mihri’s untold story. Director Berna Gençalp decides to trace Mihri’s journey from late Ottoman era Istanbul onward to Rome, Paris, and New York. Mihri, whose image, artistic work, and life story have been unjustly obscured, lost, and deformed is revived through archival material, interviews, and animated sequences.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/who-is-mihri
Turkish Delight,Turkish Delight,Pınar Öğrenci,108 min,"Drama, Romance",,7.1,0,,"Turkish Delight follows the story of the production of lokum (Turkish Delight), one of the most emblematic delicacies of Turkish culinary culture, that extends from Western Anatolia to the Greek island of Syros. Known as ’rahat-ul hulkum’ in Arabic and ’lokoumi’ in Greek, ’lokum’ came to be called as ’Turkish Delight’ at the end of the 19th century, when nationalist policies were introduced, and became the breadbasket for refugees fleeing the war that would soon begin. The film tells part of the story of Syros, which was built with the labour of Greek (Rum in Turkish) refugees from Anatolia and the islands, and focuses on the forced separation of peoples who lived together for centuries. Narrating the story of the forced displacement of two Greek families who escaped from Izmir and Istanbul and took shelter on Syros Island during the Turkish War of Independence, Turkish Delight brings together the survival stories of two couples from different generations. Visualized by the fragmented multiplicity of images, the narrative of the film points at the split historiography, fragmented cultural relations, and the psychological landscape of loss for refugees torn between the homeland and the port of arrival.",National Documentary Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/turkish-delight
The Water,EL AGUA,Elena López Riera,16 min,"Short, Drama",,6.9,0,,"Summertime in a small village in southeastern Spain... A storm threatens to cause the river crossing the village to overflow again. Throughout the village, an old popular belief is repeated like a litany, claiming that some women are predestined to disappear with each new flood, because they were born with ‘the water inside.’ Local teenagers try to survive the weariness of a summer in the village, smoking cigarettes, dancing and drinking. In this electric atmosphere preceding the storm, Ana, who dreams of fleeing this village that stinks of death, and José will live a story of summer love. Taking place in the town where the director Elena López Riera grew up, El Agua inspires from an existing legend: ‘There is a saint for rain and another to avoid too much rain. This ancestral fear of water, both desired and feared, has been passed on to women. Because at home, fears and taboos about sexuality are transmitted by the mother.’ Premiering within the Directors’ Fortnight section at Cannes 2022, El Agua employs mainly non-professional actors.",International Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/the-water
Bad Living,MAL VIVER,João Canijo,127 min,Drama,,,1,2023 Berlin Silver Bear Jury Prize,This film is screened with the generous support of Instituto Camões and the Embassy of Portugal.,Best of The Fests,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/bad-living
Absent Wound,ABSENT WOUND,Maryam Tafakory,,Short,,,1,2018 Documenta Madrid Best Short Film,"The rituals of warrior training are seen in combination with the recitations of a girl. From men-exclusive public spaces where warriors are made, to the secluded solitude of becoming/being a woman...",Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/absent-wound
Cloves & Carnations,BİR TUTAM KARANFİL,Bekir Bülbül,,Music,,,0,,"An old refugee starts on a long and rough journey with his 12-year-old granddaughter, who still carries the trauma of war, to carry the dead body of his wife back to her homeland and bury it there. They try to complete this journey by hitchhiking as they don’t have enough money, however, they are stranded when vehicles are reluctant to help two refugees carrying a coffin. Their efforts to clutch onto life during this journey will help break down the walls between them and make them build a stronger connection with each other.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/cloves-carnations
Casa Susanna,Casa Susanna,Sébastien Lifshitz,97 min,Documentary,,,0,,"In the 50s and 60s, deep in the American countryside at the foot of the Catskills region of New York, a small wooden house with a barn behind it was home to the first clandestine network of cross-dressers. Known as ‘Casa Susanna,’ the house provided a safe place for transgender women and cross-dressing men to express their true selves and live for a few days as they had always dreamed—without fear of being incarcerated or institutionalized for dressing as they wish. Told through the memories of those whose visits to the house would change their lives, the film provides a moving look back at a secret world where the persecuted and frightened found freedom, acceptance, and often, the courage to live their lives out of the shadows. It tells a story full of noise and fury, rich in extraordinary characters, including the famous Susanna Valenti, who created this refuge. The latest documentary by Sébastien Lifshitz, director of Little Girl and Bambi made its premiere at Venice Film Festival.",Documentary Time,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/casa-susanna
Karaoke,Karaoke,Moshe Rosenthal,100 min,"Comedy, Drama",,7.8,2,"2022 Jerusalem Audience Award, Best Debut Film","An offbeat, comedic journey that delights and surprises, Karaoke ‘is a real gift that hits all the right notes’ according to critics. The film follows Tova and Meir, a standard ageing couple with 46 years of marriage. Their lives get a jolt of excitement from their rich and cheeky neighbour from above, Itzik, who invites them to his penthouse for karaoke nights. His energy, boldness, charisma, and lifestyle will irrefutably reignite their lust for life. A wonderfully acted, bittersweet tale on love, friendships, masculinity, marriage, our fast age, narcissism, and ‘the new Israeli,’ Karaoke debuted at the Tribeca Film Festival.",Antidepressant,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/karaoke
Harka,Harka,Lotfy Nathan,87 min,Drama,,,1,2022 Cannes Best Performance (Adam Bessa) – Un Certain Regard,"Harka centres on the story of Ali, a young Tunisian who dreams of a better life, making a precarious living selling contraband gas. Forced to take charge of his two younger sisters after their father’s sudden death, and facing impending eviction, Ali will have to make a decision from which there is no turning back. What ensues is a fight for dignity, the voice of a generation trying to be heard. This thought-provoking and deeply moving film was written and directed by Egyptian-American documentary filmmaker Lotfy Nathan, who was inspired by a close study of Mohamed Bouazizi, the young man whose death sparked the Jasmine Revolution and subsequently the Arab Spring. Employing a cinematography and settings similar to Sergio Leone’s spaghetti western films, Harka is the fiction feature debut of Lotfy Nathan.",Young Masters,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/harka
Fools,GLUPCY,Tomasz Wasilewski,91 min,"Comedy, Drama, Romance",,5.5,0,,This film is screened with the generous support of the Consulate General of Poland.,Mined Zone,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/fools
Glass Curtain,CAM PERDE,Fikret Reyhan,30 min,"Drama, Short",,,0,,"Nesrin, a single mother who lives with her four-year-old son, struggles with her ex-husband Ömer’s oppressive behaviour and bureaucratic hardships while she is on the brink of making a critical decision regarding her relationship with her boyfriend Selim.",National Competition,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/glass-curtain
Black Head,KARA KAFA,Korhan Yurtsever,12 min,"Short, Drama",,5.8,0,,This film is screened with the generous support of German Films.,Cinemania,http://film.iksv.org/en/the-42nd-istanbul-film-festival-2023/black-head
